cost,name,place,price
"9,910元/平",美的招商东樾 2室1厅 南,石碣镇,36
"38,158元/平",花园式小区，繁华商圈物业，中高楼层，通透性好,罗沙,145
"22,449元/平",泊樾湾三房 诚意出售，业主诚心出售 没有欠款,万达,220
"39,780元/平",景湖名郡 4室2厅 西北,西平,325
"14,180元/平",御景花园 全屋精装修大2房 双阳台 朝南 税费少,樟木头镇,95
"30,613元/平",金地格林小城 3室2厅 东,西平,300
"22,261元/平",经贸中心 4室2厅 东南,莞城,260
"17,827元/平",鹿港小镇 3室2厅 东南,厚街镇,205
"17,051元/平",双阳台户型，精装三房，朝南采光好，通透，装修档次好,东坑镇,180
"34,728元/平",中信阳光假日 6室3厅 南 北,东泰,500
"19,355元/平",地铁口 江山花园朝南高层三房视野好，东边位带租约~,黄江镇,180
"23,244元/平",侨苑山庄 3室2厅 南,上下桥,430
"27,313元/平",光大景湖春晓 2室2厅 南,西平,230
"26,168元/平",松湖碧桂园一期 南北通大3房 楼层好 保养佳,大岭山镇,320
"19,103元/平",中央财津 1室1厅 西南,三元里,89
"14,394元/平",金椅豪园 3室2厅 南,企石镇,180
"13,409元/平",莞城实验教育 2房2厅2卫 精装修 业主诚意出售,莞城,123
"11,932元/平",天诚时代 3室2厅 南,望牛墩镇,122
"10,264元/平",丽景新园 1室1厅 东南,常平镇,37
"19,517元/平",君汇半岛 3室2厅 东北,道滘镇,210
"20,099元/平",新世纪可居 精装 2房2厅2卫 湖景房 配套成熟 环境好,塘厦镇,205
"28,572元/平",第一国际 3室2厅 南,东莞图书馆,300
"20,886元/平",万科金域国际西南向三房，入户花园，采光通风佳,厚街镇,200
"28,322元/平",第一国际 3室2厅 南,东莞图书馆,298
"29,974元/平",未来世界花园 2室2厅 东北,西平,160
"10,000元/平",联邦花园 3室1厅 东南,常平镇,80
"6,064元/平",繁华商圈物业  中高楼层 通透性好,罗沙,75
"15,687元/平",鹿港小镇 3室2厅 南,厚街镇,160
"25,783元/平",碧桂园滨海明珠 4室2厅 南,沙田镇,295
"17,461元/平",万科城 3室2厅 东南,常平镇,155
