cost,name,place,price
"11,782元/平",满都中央时代 2室2厅 南,桥头镇,102
"12,979元/平",万科金域广场 2室2厅 南,大朗镇,39
"28,144元/平",怡丰都市广场 3室1厅 南,东泰,280
"11,789元/平",潮流坊　精装3房2厅1卫　业主急售,塘厦镇,100
"34,616元/平",北大资源精装104平3房2厅2卫。业主诚意出售。,华南摩尔,360
"9,910元/平",美的招商东樾 2室1厅 南,石碣镇,36
"38,158元/平",花园式小区，繁华商圈物业，中高楼层，通透性好,罗沙,145
"23,204元/平",汉邦雍景居 3室2厅 东南,凤岗镇,228
"39,780元/平",景湖名郡 4室2厅 西北,西平,325
"14,180元/平",御景花园 全屋精装修大2房 双阳台 朝南 税费少,樟木头镇,95
"30,613元/平",金地格林小城 3室2厅 东,西平,300
"22,261元/平",经贸中心 4室2厅 东南,莞城,260
"24,170元/平",虎门滨海城 4室2厅 东南,新联,280
"17,827元/平",鹿港小镇 3室2厅 东南,厚街镇,205
"17,051元/平",双阳台户型，精装三房，朝南采光好，通透，装修档次好,东坑镇,180
"18,046元/平",小孩读莞城学府方便 东湖花园电梯3房2厅,罗沙,240
"19,355元/平",地铁口 江山花园朝南高层三房视野好，东边位带租约~,黄江镇,180
"23,244元/平",侨苑山庄 3室2厅 南,上下桥,430
"27,313元/平",光大景湖春晓 2室2厅 南,西平,230
"26,168元/平",松湖碧桂园一期 南北通大3房 楼层好 保养佳,大岭山镇,320
"19,103元/平",中央财津 1室1厅 西南,三元里,89
"13,518元/平",寰宇汇金中心 1室0厅 东南,南城车站,130
"13,487元/平",寰宇汇金中心 1室0厅 东南,南城车站,170
"27,728元/平",高楼层南北通毛坯交付低密度人文小区自带两个泳池,塘厦镇,305
"10,345元/平",米兰街 3室2厅 东,桥头镇,120
"14,394元/平",金椅豪园 3室2厅 南,企石镇,180
"17,544元/平",户型方正 采光好 朝花园 保养很好 使用率高,华南摩尔,150
"13,409元/平",莞城实验教育 2房2厅2卫 精装修 业主诚意出售,莞城,123
"11,932元/平",天诚时代 3室2厅 南,望牛墩镇,122
"10,264元/平",丽景新园 1室1厅 东南,常平镇,37
